SemanticTag	ID
SNOMED RT+CTV3	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8
assessment scale	9db11d3b-a3c9-3655-b785-435ca45d89ed
attribute	445d932f-f552-3b4b-a323-3a06f1d26d98
body structure	4be3f62e-28d5-3bb4-a424-9aa7856a1790
cell structure	89c12f5f-930b-3b62-bfb5-98dfe5c236c7
disorder	ab4e618b-b954-3d56-a44b-f0f29d6f59d3
environment	da439d54-0823-3b47-abed-f9ba50791335
environment / location	da439d54-0823-3b47-abed-f9ba50791335
ethnic group	c3270448-da19-3535-8b5f-81b2fc4cdb1f
event	c7243365-510d-3e5f-82b3-7286b27d7698
finding	bd83b1dd-5a82-34fa-bb52-06f666420a1c
geographic location	f5cb6f9c-4858-3593-bc8c-04c2eaef8dde
inactive concept	f267fc6f-7c4d-3a79-9f17-88b82b42709a
life style	74bb3274-da7e-3a42-9e87-33f681896b76
link assertion	7f39edac-198d-366d-b8b9-4eab221ee144
linkage concept	1a3399bc-e6b5-3dea-8058-4e08012ff00f
morphologic abnormality	9defab14-6d7b-3173-bbc2-ac30b76928b3
namespace concept	b8b186c9-1f04-3e7f-853e-f30c7d05dd09
navigational concept	d96c5d7d-3314-3048-919e-4b866225c6c6
observable entity	d678e7a6-5562-3ff1-800e-ab070e329824
occupation	20d86f06-6c23-3b31-af09-ae70fa5313fa
organism	0bab48ac-3030-3568-93d8-aee0f63bf072
person	37c4cc1d-b35c-3080-80ac-b5e3a14c8a4b
physical force	32213bf6-c073-3ce1-b0c7-9463e43af2f1
physical object	72765109-6b53-3814-9b05-34ebddd16592
procedure	bfbced4b-ad7d-30aa-ae5c-f848ccebd45b
product	5032532f-6b58-31f9-84c1-4a365dde4449
qualifier value	ed6a9820-ba24-3917-b1b2-151e9c5a7a8d
racial group	2faee888-c9c7-3dec-9ba9-c652923c9c84
record artifact	2724663a-65a5-381f-ba31-6c8b576b8948
regime/therapy	b71b5f42-26a4-3f90-a426-0e952adc4ec1
religion/philosophy	233491b5-92c3-3269-b888-48044d59c01e
situation	27d03723-07c3-3de9-828b-76aa05a23438
social concept	b89db478-21d5-3e51-972d-6c900f0ec436
special concept	65cc653d-94b0-32f1-b2bf-4166d980e7cc
specimen	3680e12d-c14c-39cb-ac89-2ae1fa125d41
staging scale	1ec915b4-8d80-3125-a711-c61e9cf7eb53
substance	95f41098-8391-3f5e-9d61-4b019f1de99d
tumor staging	2ca36f27-7e05-3a30-9e85-cf8d4a61984e
